Age,Mean Weekly Deaths,Annual Slope,Relative Slope (%)
20,27.51608476794178,2.175205119667153,7.905213034528166
25,38.905038791932625,2.213166265942264,5.688636574245462
30,50.56100949205212,1.9665906887111024,3.889540000225348
35,60.100000350409765,1.7578086701299926,2.924806422431257
40,74.4236906362902,3.1425564330494153,4.222521627430626
45,94.62251841505002,5.1268701154921,5.418234688072574
50,133.09282545295846,8.653278856357883,6.501686944362284
55,195.5963673086223,13.416370730293945,6.8592126300203144
60,284.8828083110517,16.80311477171505,5.898255100521345
65,394.51557441292096,14.958269916310426,3.791553714595385
70,538.8040675878445,22.165008095068192,4.11374179009042
75,816.2536352135181,38.262723230505344,4.687602183908983
80,1303.7922533439091,34.69489257718985,2.6610752202435557
85,2132.011996498394,-15.508124467372696,-0.7273938651772673
90,3534.623688964727,-321.0714489916879,-9.083610512601075
95,5393.602167808039,-1343.8488750632616,-24.915609888398613
100,7074.194152398787,-2796.488920749765,-39.53084776167055
105,9029.23484074381,-5074.676421635321,-56.20272936900687
110,11525.403689463457,-9488.191189388195,-82.32415492797284
